Years,Email,Gender,Age,Spend,CustID,Scores,Amount,Purchases,Income,Churn
9,1,0,26,8.84947,21505,3,499.26123120860274,11,23.113,0
9,0,0,25,7.998,21157,3,498.0836830768233,11,24.148,0
9,0,1,22,9.68905,21916,3,501.5228523437302,8,24.323,0
10,1,1,24,11.52875,14177,3,502.4459947728706,8,22.211,1
10,0,1,24,8.32344,19645,3,499.1315227981195,10,24.75,0
8,1,1,27,10.16728,3456,3,500.51490713946595,10,21.767,0
11,0,1,20,7.1582,19294,3,499.91675360602164,9,25.261,0
6,1,0,30,8.14868,10143,3,497.09269312360306,11,20.384,0
7,1,0,25,10.45574,7412,3,501.4024763084477,10,22.731,0
5,1,0,25,8.29932,14221,4,498.0958815414002,9,20.928,0
8,0,1,21,10.23769,11502,3,502.51410919390224,7,22.384,0
7,0,1,25,8.82393,16011,3,499.0126869553578,9,22.504,0
10,1,0,30,10.36444,8397,3,498.6671029897169,13,23.499,0
9,0,1,23,7.66441,15902,3,499.83683037622694,9,22.785,0
6,1,1,29,9.72432,12532,3,501.2440343707518,14,21.147,0
7,1,0,24,8.94088,6380,2,500.3996848754807,9,22.132,0
8,0,1,26,9.34671,11758,4,499.37826054068034,11,23.065,0
7,0,1,21,8.45796,14077,3,499.7927772930578,7,22.561,0
11,0,1,25,7.59647,13164,3,497.32330523518374,12,26.001,0
9,1,1,23,9.185,20000,2,500.1831789087193,7,22.055,1
9,0,0,29,8.24216,21879,4,496.01920675246646,14,24.877,0
9,0,1,22,10.9231,14084,3,503.26419231825287,8,23.029,1
9,1,1,26,10.67124,7596,3,500.61872652946585,12,25.015,0
10,0,1,24,9.25829,15671,3,501.7100924465793,11,24.019,0
6,0,1,21,9.3021,22532,3,504.1811928761637,8,20.679,0
11,0,0,24,7.7512,20338,3,498.52839251518066,10,24.68,0
9,0,0,26,8.59611,7267,2,499.80933769760605,10,22.35,0
7,0,1,24,9.57195,17229,2,502.87709171110487,9,20.456,0
10,0,1,22,8.70515,6679,3,500.3573975273407,9,25.298,0
6,1,1,27,8.72658,10672,4,498.5933909751874,12,22.523,0
9,0,1,24,5.90011,12493,3,496.7945248259066,10,22.542,0
7,0,1,25,8.52847,16030,3,500.3390642017229,9,19.876,0
7,1,1,23,11.49453,17361,3,504.06383186303736,9,23.035,0
10,0,0,28,9.77379,20208,3,499.7316778556498,12,24.269,0
11,0,1,26,10.46323,4675,3,501.38367088146765,13,26.109,0
11,0,0,24,7.17777,15261,2,498.48078745129476,11,25.218,0
10,0,0,27,6.57115,5330,3,496.5785800072924,13,23.793,0
5,1,1,24,11.19835,9405,3,504.08993809174564,8,19.241,0
7,0,1,23,8.10705,1847,3,502.5955360680775,9,20.106,0
8,0,0,27,8.85737,9823,3,499.103112762381,11,22.568,0
8,1,1,26,8.98046,4728,3,499.35110548366674,11,23.447,0
9,0,0,26,6.51615,20825,3,496.6345310158388,11,23.446,0
9,1,1,26,10.05388,3489,2,501.35831108493244,10,22.168,0
6,1,1,25,9.56065,13248,3,501.7575000348954,9,20.559,0
7,0,1,26,8.56555,11126,3,500.0795095012869,10,21.092,0
9,0,1,23,8.56196,7180,3,501.1176088708311,10,23.389,0
8,0,1,25,8.84288,2339,3,500.1905337918348,10,22.953,0
9,1,1,26,10.338,12083,2,502.8829329026339,11,21.556,0
8,0,1,22,9.45601,19557,3,501.71252865125456,7,21.589,0
10,0,1,22,8.41355,21004,2,501.74296971955397,9,22.9,0
10,0,1,23,8.19757,18236,2,499.8535531822865,9,23.344,0
10,0,1,25,8.05886,9393,3,498.9408757561996,11,23.945,0
11,0,1,21,8.40556,4115,3,500.96059498109577,9,25.362,0
9,0,1,25,8.01506,14626,3,499.6933773325957,11,22.64,0
9,0,1,20,8.30889,10707,3,502.9222859751024,8,21.802,0
8,1,0,25,9.40355,21267,3,499.6542746833124,11,23.886,0
8,1,1,23,8.25554,10457,3,500.4809338299667,9,22.073,0
10,1,1,27,10.7215,8565,3,498.73728085811524,5,19.034,1
6,1,1,26,9.76436,6562,3,502.2245379258887,10,20.412,0
8,1,0,23,8.06497,19773,2,499.4882110952509,8,22.096,1
7,0,1,24,9.0459,19511,3,500.7234319264497,10,22.283,0
11,0,0,27,8.37086,7299,3,497.52259485965203,12,24.147,0
10,0,1,21,9.29639,2800,2,501.95063941923587,9,24.677,1
10,0,0,27,9.34437,7344,3,498.0696065684673,12,25.467,0
10,0,1,24,7.44374,6523,3,499.99155222662637,10,22.653,0
6,1,1,25,9.27991,16494,3,500.19011590510195,9,20.895,0
8,1,1,24,9.40904,12405,2,501.9836190126154,10,22.268,0
10,0,1,22,7.77119,3602,4,498.600729001622,10,25.316,0
7,1,1,28,9.97542,2232,3,501.0304216411261,11,20.745,0
7,1,0,27,8.50513,6212,3,497.4900524772564,11,23.625,0
9,0,1,27,9.44923,3219,3,501.1288375835609,12,22.443,0
9,0,1,25,10.42958,19077,3,500.859695045268,11,24.797,0
9,0,0,24,7.81971,20352,3,498.0501561297233,8,22.342,0
12,0,0,27,8.5299,9290,3,498.83529821726546,13,25.463,0
7,0,1,24,8.40794,1215,3,500.28426865547283,9,21.479,0
10,0,1,24,9.54422,6120,3,500.13567303881007,11,25.693,0
8,0,1,21,8.79563,22415,3,503.022324111917,9,21.862,0
9,0,1,26,8.89872,2686,3,499.9523806964448,10,21.706,0
7,1,1,26,10.18089,6247,3,500.9633146163685,11,22.447,0
8,0,0,25,7.50084,1320,3,497.4193757833766,9,22.263,0
8,1,1,27,10.63998,19857,3,500.57155547599956,11,21.847,0
8,0,0,24,9.36839,21679,3,498.87423433251405,9,24.401,0
8,1,0,26,9.46896,15069,3,499.05819199990873,10,22.89,0
9,0,1,23,8.24515,22391,2,502.0668671506147,10,22.281,0
9,0,0,27,9.07116,400,4,498.21106084748857,13,24.774,0
8,1,1,27,9.42795,15560,3,499.86787267557526,11,22.607,0
9,0,1,24,8.43597,1963,3,500.2383450549363,11,23.305,0
8,0,1,24,10.08908,14645,2,503.0555051941935,10,22.344,0
8,0,0,27,8.09959,3918,3,497.4538580068996,12,23.334,0
9,0,1,20,11.4017,18220,2,503.737731151952,7,24.912,1
9,0,1,23,7.35336,1227,3,500.212536705547,11,23.446,0
10,1,0,23,11.05209,10654,2,502.0079352511103,7,22.912,1
8,0,1,23,8.98892,6714,4,499.4558501510044,10,25.155,0
9,1,1,24,9.73704,16222,2,500.9759241006028,8,22.193,1
8,0,1,21,9.00458,22490,3,502.7134132196333,8,22.101,0
8,0,1,24,8.59465,22762,3,501.6172938718814,11,22.543,0
10,0,1,23,13.66903,15589,3,504.4922813649942,6,20.815,1
9,0,1,23,8.87145,11965,4,500.08126083393955,11,25.257,0
9,1,1,22,10.76777,16503,1,504.2762630602593,10,24.492,1
9,0,1,26,9.29776,18955,3,500.5760823097982,12,23.183,0
8,1,1,26,9.77568,17235,2,502.57857964590096,11,21.645,0
10,0,0,27,8.52095,1494,3,498.68032985517056,12,23.532,0
11,0,1,26,10.23411,8342,2,501.7645700794905,12,24.403,0
8,0,1,24,9.43947,5979,3,501.48259741708233,9,21.334,0
11,0,0,27,7.60971,13189,3,497.6211449682779,13,24.726,0
9,0,1,27,13.41951,1879,3,503.3845869329463,6,18.261,1
7,1,1,26,9.18902,1285,4,499.84511735022267,11,23.261,0
6,1,1,23,10.50797,5203,3,502.6283522618133,8,21.059,0
7,1,1,23,10.23086,19244,3,502.4417006136216,8,21.658,0
9,0,1,24,9.17967,4570,3,499.8469308205617,11,25.401,0
11,0,1,27,9.2736,19841,2,501.03942740251887,12,22.767,0
8,1,1,24,10.29309,3584,3,501.5945074175916,8,21.049,1
8,0,0,27,7.97545,5943,4,497.3056063091656,12,23.759,0
7,1,1,24,8.89471,3855,3,500.46282691008685,9,21.271,0
8,0,1,26,8.5079,8500,4,498.0964322322425,12,24.415,0
11,0,0,27,9.32282,22815,3,499.06357709536786,13,25.83,0
7,1,1,28,11.26934,3580,3,501.6666522269016,11,21.095,0
8,1,0,27,9.18029,17811,2,499.61845126962055,9,20.942,0
7,0,1,25,7.72741,2159,3,499.02846130961126,10,21.073,0
10,0,1,26,8.66627,20160,3,499.7368573039561,11,23.975,0
8,0,1,24,8.60336,9395,3,500.05334564699785,11,23.618,0
7,0,0,25,8.12803,14639,3,499.51615630329127,10,21.999,0
9,1,1,22,10.29377,8328,2,501.35909461819006,6,23.314,1
6,0,1,25,8.38182,17153,3,500.40084451785776,8,18.432,1
8,0,1,25,9.22142,1996,3,500.6960190962817,11,22.604,0
7,0,1,25,8.56788,5668,4,498.26032612472466,10,23.466,0
10,0,0,26,8.85631,11998,3,497.481195921104,11,24.689,0
8,1,1,26,9.43275,2412,3,499.6733009226228,12,23.9,0
11,0,0,25,7.43311,8441,3,497.4828066788085,11,25.36,0
12,0,1,25,8.58445,9365,3,499.6588798559781,12,25.99,0
10,0,1,22,8.80542,12845,2,502.7159862645147,9,22.678,0
9,1,0,24,9.58688,2180,2,500.1396102574469,7,21.894,1
7,1,1,27,8.29263,1468,3,498.0844175017367,11,21.934,0
9,0,1,26,7.59758,15175,4,497.6876457399942,13,25.245,0
9,0,1,24,9.24372,17871,3,502.9782371432893,11,22.719,0
10,0,1,23,8.49541,8795,3,500.8063611421478,11,24.541,0
8,0,1,24,9.20414,9378,3,500.7420684296652,10,22.53,0
8,1,1,22,6.42106,954,2,499.8553163214477,11,25.411,1
8,1,1,22,8.90779,1242,3,501.4170602522965,8,22.046,1
9,0,1,25,8.01779,2155,3,498.614147758984,11,24.016,0
10,0,1,26,9.40727,6763,4,499.2527140929138,13,25.625,0
11,0,0,25,8.91891,10778,4,497.4744307990757,11,26.962,0
10,1,1,23,10.80815,19080,3,502.41141136954354,8,22.805,1
10,0,1,24,8.74308,5130,2,502.1513581886538,11,22.977,0
8,1,0,29,8.43804,13793,4,495.9515036380252,13,24.59,0
8,1,1,26,10.99353,8338,3,501.77919040508255,10,22.164,0
9,0,1,26,9.01571,11397,3,499.85410049999444,12,23.941,0
10,0,1,25,8.45055,15556,3,500.36519924715975,11,23.584,0
8,0,0,26,8.8021,18072,3,498.41752123110854,11,23.851,0
10,0,1,23,8.00259,20091,3,498.89437888386476,10,24.567,0
8,0,1,25,7.67471,22285,3,498.76156829803284,10,21.917,0
8,0,1,21,7.1733,16501,3,500.6562420367021,8,21.809,0
7,1,0,27,8.60075,22521,3,499.43609014675116,10,20.474,0
8,0,1,24,9.10765,8409,3,501.57563335797624,10,21.66,0
8,1,0,23,6.31997,4993,2,498.1892902056578,9,22.059,1
8,0,0,27,8.48927,21689,4,497.1015320658237,11,23.816,0
9,0,1,23,8.79403,9618,3,499.7772192410483,10,24.543,0
9,0,1,26,8.1383,12389,2,499.80629500135797,11,22.658,0
10,0,1,27,9.92511,6810,3,499.58722722519235,13,25.71,0
9,0,0,25,8.9986,1746,3,498.7755477943285,11,25.001,0
7,1,0,26,10.18526,2532,3,500.38453667944015,10,22.31,0
8,0,0,23,9.93859,20176,2,501.3545056292043,8,21.725,1
7,0,1,25,9.57984,17162,3,500.8922359522829,11,22.586,0
8,1,0,23,10.38572,5692,2,501.42306972162373,7,21.733,1
7,0,1,22,8.3077,17274,3,501.942946665531,10,21.964,1
9,1,1,24,8.75408,1143,2,499.96197241212286,9,22.304,1
9,0,1,25,8.80428,8228,3,499.25645216736604,11,23.418,0
8,1,0,27,10.20708,7768,3,500.19408756110556,10,22.274,0
9,1,1,28,10.45362,436,2,502.1747039487383,13,22.733,0
7,0,1,21,8.39864,19433,2,502.22379512533183,8,21.229,0
6,1,1,25,9.85818,14583,3,501.86192362150064,10,22.067,0
9,0,1,25,7.99431,20043,4,497.9602008023427,12,25.358,0
6,1,1,22,9.64604,16436,3,501.87433691413895,7,20.941,0
11,0,1,24,8.74306,10008,3,500.8069235897386,11,24.56,0
9,1,1,24,9.75859,1159,3,500.72580615225735,7,22.18,1
8,1,0,29,11.34931,18845,3,500.2602117251316,14,24.6,0
13,0,1,25,5.14571,19532,3,496.31293294593587,11,24.497,0
9,0,0,28,8.28431,13169,4,497.4229791284095,13,24.301,0
8,0,1,25,8.87045,15743,3,500.79754051020444,11,22.349,0
8,1,1,26,9.93224,13522,2,501.8382264205774,11,23.007,0
9,0,1,25,7.74625,19743,3,499.3413149871474,11,23.121,0
8,1,0,27,8.65812,3789,3,498.80346302386647,11,22.587,0
10,0,1,25,8.74789,5123,3,500.6546922539813,11,23.755,0
10,1,1,22,11.45289,7063,2,502.4614466305627,7,23.754,1
8,0,1,22,7.04363,12274,3,500.33535087356057,9,21.641,0
10,1,1,24,7.33098,22118,3,498.3037213793289,9,23.105,1
9,1,1,26,11.23114,18551,3,502.36596491339003,11,23.447,0
6,1,1,24,9.8207,18669,4,500.3856065430865,9,23.064,0
13,0,1,26,8.29492,20948,3,498.06211850445953,13,27.401,0
10,0,0,28,8.86996,3071,3,497.30413008340327,11,23.761,0
8,1,1,23,8.51659,6800,2,501.0656686790883,10,23.225,1
10,0,0,29,7.85,3464,4,495.776523953358,14,25.2,0
12,0,1,24,7.01214,9498,3,499.58605454373594,12,25.145,0
9,0,0,26,7.80879,3164,3,497.24616716837494,10,23.903,0
9,1,0,28,9.80159,22329,2,500.2440503560914,12,22.936,0
8,1,1,24,8.20735,17055,3,500.1489796738744,9,21.218,1
8,0,1,23,9.01367,17508,3,500.3745513414498,9,23.55,0
7,0,1,21,9.23893,11547,3,503.43119122586916,7,21.018,0
8,0,0,26,7.36956,9434,4,496.6081210894154,11,23.507,0
9,0,0,26,6.21825,5212,3,495.2923310428371,10,23.331,0
9,0,1,21,6.8808,10938,3,500.06216292313877,8,23.002,0
7,0,1,25,6.94455,18684,3,498.5896636957909,10,21.0,0
10,1,1,24,11.04887,22589,2,502.02157513350545,8,23.236,1
9,1,0,27,10.62589,20810,3,499.4197772245386,12,24.513,0
11,0,1,24,9.12161,17479,2,500.70635033063485,11,25.477,0
7,1,0,27,10.88979,22785,2,501.56268061957326,11,22.526,0
7,1,1,26,9.3851,14735,3,499.92677421287726,11,22.601,0
9,0,1,27,8.02954,15365,3,498.39644449193116,11,22.307,0
9,0,1,20,10.59707,14280,2,503.62481561853053,8,25.389,1
11,0,1,21,6.00185,10948,3,499.21724345642957,10,24.922,0
10,0,0,24,7.79294,10212,3,498.28548068855565,9,24.401,0
6,0,1,24,8.39843,16613,3,500.2396850224644,9,21.593,0
6,1,0,25,8.02306,18321,3,498.77071058008556,9,21.169,0
9,1,1,23,10.78986,3792,2,503.14041966462736,9,23.581,1
10,1,1,23,12.05207,12408,3,502.9710683529194,7,22.891,1
6,1,1,21,8.83526,15913,2,502.54627233251745,6,19.591,0
10,0,0,27,9.34704,6719,3,497.3206170264997,11,25.121,1
10,0,0,27,8.40787,5666,2,499.31150153802236,11,23.441,0
6,0,1,22,8.99143,13258,3,502.20684223675715,8,21.66,0
10,0,1,22,9.93192,9295,2,503.97018889854724,9,22.523,0
8,1,1,24,8.17206,21899,2,499.8505155502451,10,22.707,1
8,0,1,21,10.02776,2380,2,504.2140695648437,9,23.252,1
11,0,1,29,9.403,22502,3,498.5882138347289,15,26.036,0
9,1,1,23,11.18647,6990,2,503.52091613362927,8,23.531,1
9,0,1,24,9.09861,7142,3,500.4391317018159,10,24.254,0
7,1,0,30,9.43905,13203,3,498.2556931769696,12,22.045,0
9,0,0,25,8.90723,14559,3,498.4689153496045,11,24.932,0
8,1,0,22,7.61736,16464,1,500.52560304404966,9,24.621,1
9,1,1,23,8.24801,10065,3,500.31695296067556,9,23.326,1
9,0,1,25,8.05922,11038,3,499.3455543374032,11,23.072,0
9,1,0,21,7.44445,21797,2,500.5240099865054,10,25.837,1
8,0,1,25,9.03075,20395,3,500.7614496230613,10,22.195,0
7,1,1,26,10.41471,18577,3,500.5679103476398,10,22.166,0
8,1,1,25,9.68549,10219,3,501.2393291687363,11,22.764,0
8,1,0,27,9.21157,7303,3,498.79477124795727,12,23.689,0
7,1,1,30,9.60751,537,3,499.53881600042394,13,21.559,0
8,0,1,25,8.99171,10189,3,499.6528417730038,11,23.759,0
10,0,0,30,8.56328,16211,3,496.81231048510216,14,25.221,0
10,1,1,23,8.24218,18993,3,500.10797245201957,10,24.579,1
7,0,1,22,8.33028,2868,3,500.70138526963296,9,22.149,0
8,0,0,29,7.10865,14690,3,495.5879131155948,12,22.692,0
8,0,1,24,6.55824,5916,3,498.5114014884935,9,21.518,0
10,0,1,27,7.69039,16915,3,498.080136279537,13,23.771,0
9,0,0,25,7.48473,16857,3,497.6436084316784,11,24.485,0
7,1,1,27,9.01176,19783,3,500.4855283767504,11,20.673,0
8,0,1,22,8.36123,12188,3,501.05730461303943,9,22.961,0
9,0,1,25,10.26157,9841,3,503.18227738703547,11,23.163,0
9,0,1,21,8.67277,18852,3,500.4637074784072,9,24.422,0
7,0,1,24,9.48744,19545,3,500.1325226363511,9,23.016,0
8,0,1,21,10.20625,16607,2,504.6547061264876,7,22.142,0
7,1,1,26,10.37161,15188,3,501.56746487324153,10,21.124,0
6,1,1,23,11.13637,22840,3,503.04845894236166,9,22.821,0
7,1,1,25,11.16361,279,2,503.56866624717475,9,21.04,0
9,0,1,25,6.01671,17930,3,497.49189552907103,11,22.256,0
12,0,0,27,7.30648,19259,3,496.2034412654014,13,26.017,0
10,1,1,24,10.4523,22467,2,500.56762918225434,6,22.0,1
8,0,1,23,8.93342,5314,3,500.4793720300526,9,23.016,0
9,1,0,24,8.01149,17489,2,499.13186513130074,8,22.637,1
11,0,0,26,7.38998,8759,3,497.16620300018525,12,24.827,0
10,0,0,30,6.72333,16955,3,494.43789951227126,13,23.089,0
7,0,0,27,7.53306,14586,4,496.023392478476,11,23.208,0
8,1,1,23,11.26642,3032,2,504.5359852018816,9,22.428,0
8,0,1,23,8.41925,6817,3,499.80880736190636,9,22.739,0
8,0,1,22,8.17808,2961,4,498.04748469307026,8,23.646,0
6,1,1,26,8.95694,12538,2,501.49659400270957,10,20.691,0
11,1,1,24,11.50769,7589,2,501.0773051480623,6,22.471,1
8,0,1,22,8.96169,10525,3,502.0661937732156,9,21.905,0
9,0,1,22,9.25666,19005,3,501.6602364870456,8,22.367,0
11,0,0,27,7.04037,15747,3,495.9816431511459,12,25.695,0
9,1,1,25,9.91826,17560,2,503.09254579542124,10,21.279,0
10,0,1,22,7.42071,16258,3,499.0626108961999,9,24.218,0
9,1,0,23,7.09336,15850,2,498.4239026256277,9,24.015,1
9,0,1,25,9.02093,19167,3,499.2625620163985,12,25.072,0
8,0,0,22,6.12797,21698,2,499.7777978598951,11,24.257,1
7,1,1,25,10.69198,14760,3,501.4964762063812,10,22.513,0
9,0,1,24,7.12521,22990,3,498.1717501266693,10,23.707,0
8,0,1,23,10.73989,7013,2,502.3285399556767,8,22.331,1
9,1,0,27,9.16022,12885,2,499.5063017607802,11,22.738,0
10,1,1,24,8.60255,16634,3,498.8767852793776,8,23.534,1
9,0,1,22,9.20729,9218,2,503.20735385424473,8,21.699,0
11,0,1,23,7.3105,13935,3,499.95093453244755,11,24.434,0
8,1,0,31,10.72917,3317,3,499.7690472746298,15,23.604,0
9,0,0,26,8.91242,3548,3,499.6671874271989,10,22.223,0
8,1,1,27,9.68291,6176,2,501.4872287201377,11,21.366,0
9,0,1,26,9.20192,17386,3,500.00501885726317,11,22.864,0
6,0,1,20,8.77681,20600,3,502.9093141095824,6,19.538,0
9,0,1,23,9.75131,579,3,503.60946722482976,11,22.793,0
10,1,0,29,9.89929,461,2,499.844831015094,12,22.709,0
11,0,1,24,7.78804,2311,3,498.1654122512474,11,25.639,0
9,0,1,25,7.84852,14680,3,497.960727656679,10,23.318,0
9,0,1,22,11.58601,22607,2,506.0300332005735,10,22.989,0
9,0,1,21,11.77463,12989,2,503.7520858760354,6,22.921,1
8,0,1,24,7.69646,21094,3,500.35594890686536,11,22.115,0
9,0,1,26,8.98983,19486,3,499.9882832151669,12,23.311,0
9,0,1,20,10.19436,22000,2,503.2318956351512,8,24.263,1
12,0,0,27,6.05917,10829,3,495.6432348705363,13,25.412,0
9,0,1,24,7.51216,10713,3,498.87357170011296,9,22.687,0
8,1,1,21,10.93572,8846,2,503.83936195730865,8,24.094,1
6,1,1,26,9.99428,21113,3,500.2272243859626,9,21.232,0
8,0,0,25,8.61736,15579,4,497.82159858576796,9,23.663,0
6,1,1,27,10.5261,1946,4,500.2044096846613,11,22.797,0
9,1,1,25,10.11326,11973,2,500.7956865012742,8,21.144,1
8,0,1,23,9.81553,10604,3,502.55978178027385,9,22.141,1
8,1,1,25,8.05091,2892,3,498.7315286505137,8,19.749,1
8,1,1,23,10.05599,11438,3,501.0073772591884,8,22.936,0
6,1,1,23,9.53044,13060,2,501.8178802473698,8,21.265,0
8,1,0,22,7.64501,11347,2,499.8597301013412,8,24.027,1
9,0,1,25,9.3008,12081,3,500.3701263437473,11,23.777,0
9,1,0,30,8.58537,15332,3,497.7067109060563,12,21.827,0
10,0,0,25,7.13211,2555,3,497.38121286717876,11,24.452,0
9,0,1,27,7.0221,12421,3,498.1097855936759,12,22.556,0
8,0,0,23,7.45221,9944,2,499.3202994679153,9,22.799,1
9,0,0,24,7.42191,18979,2,498.89443886847533,9,21.701,0
9,0,0,26,6.605,20620,3,496.54384611131655,11,24.255,0
11,0,0,26,8.60722,1381,3,498.32231278257683,11,25.257,0
6,1,1,24,8.4676,8277,2,501.3013897878916,8,19.869,0
10,0,0,28,8.85518,3053,3,498.1571136284648,13,24.793,0
8,1,0,25,8.1738,439,3,498.80473017948816,9,21.676,0
8,0,0,27,7.3839,17305,3,496.16857460231904,11,23.292,0
8,0,1,25,9.91364,7986,3,501.1620164502148,11,23.098,0
10,0,1,25,7.7774,3278,3,498.4647469871645,12,25.12,0
10,0,1,24,9.55213,2652,3,500.13642231976485,11,25.916,0
8,0,1,24,8.06372,6552,4,498.84301805875043,10,23.39,0
8,1,0,27,10.1696,7925,3,500.20363344125093,10,22.202,0
9,1,1,25,9.15711,5478,2,499.56114785325633,7,21.393,1
7,1,0,28,10.0056,19028,3,500.5377333976248,12,21.782,0
8,1,0,23,7.25689,19686,2,498.9357288886491,9,23.132,1
6,1,1,26,10.58816,19243,3,501.1114862624137,11,22.475,0
8,1,1,22,10.18636,10025,2,503.81101566620197,9,22.806,1
7,1,1,25,11.36213,3516,3,503.3884453590477,11,23.136,0
9,1,1,24,8.94659,7010,2,500.9189938256901,9,21.989,1
8,0,0,25,8.73523,628,3,498.233183132137,10,23.972,0
6,1,1,24,9.85214,15777,3,502.4070203395386,10,21.529,0
7,0,1,24,8.42336,11559,4,499.5544667966803,10,23.408,0
6,1,1,27,10.88481,7182,3,501.12891334359574,11,22.052,0
7,1,1,25,10.36767,17988,3,502.0328835049438,9,20.604,0
8,0,1,19,10.89307,618,2,505.45666405360487,7,23.144,0
9,0,1,25,9.88726,19042,3,500.68934477300854,11,24.765,0
7,0,1,25,8.58247,22606,3,500.86234966817847,9,20.024,0
9,1,0,22,10.71192,17166,1,502.7555485161781,8,24.848,1
9,1,1,27,11.21239,6677,3,500.2798384051192,6,18.505,1
9,0,1,26,8.75239,11689,3,500.4318486957881,11,22.255,0
10,0,1,22,8.54798,10634,2,499.89560526159016,10,25.555,0
8,1,1,26,10.79394,3994,3,501.2297889509996,11,23.504,0
11,0,1,27,9.54477,18510,3,499.4837958053316,12,25.582,0
8,0,0,23,9.76768,15961,2,501.98884114151696,9,22.895,1
10,0,0,24,6.9854,4660,3,497.93951616451227,10,24.356,0
10,0,1,27,7.87121,15355,3,498.3970281384706,13,24.32,0
11,0,1,23,9.24732,4514,3,500.64848749820715,10,25.393,0
9,1,1,25,11.73357,16810,3,502.46543987837106,7,19.924,1
8,0,1,23,7.64837,14463,3,499.4181605229313,9,22.797,0
8,1,1,23,11.55308,5364,2,505.57792933364493,9,22.061,0
6,1,1,23,11.37289,15145,2,505.52588175595,8,20.183,0
7,1,0,28,9.78263,12084,3,498.73675218411296,12,22.702,0
5,1,1,29,11.03458,13054,4,500.1045391975772,12,21.634,0
10,0,0,28,7.84011,8184,3,497.41763485421563,13,24.986,0
12,0,1,26,9.41176,9784,2,500.7911604221726,12,25.209,0
9,0,1,27,8.54042,11066,3,499.2244784955335,12,23.649,0
9,0,0,25,8.87556,12670,3,499.1630009368999,10,23.643,0
9,1,1,23,6.85283,8312,3,499.64323237491965,11,24.65,1
12,0,0,30,9.66152,14403,3,498.771505373206,14,24.475,0
7,1,1,26,9.12858,22769,3,500.3600908118341,10,21.677,0
7,1,0,26,10.61814,18332,3,500.2431546139864,11,23.938,0
10,1,0,27,10.1859,8983,2,500.53859904213016,11,23.383,0
11,0,1,23,9.93503,14404,2,502.8659244818746,10,23.779,0
8,1,1,25,10.7173,2117,3,503.1730839161513,11,22.344,0
9,1,1,29,10.20717,18720,3,500.17747073917394,14,23.917,0
8,0,1,25,10.99162,4872,4,501.54490968118307,11,24.06,0
10,0,0,25,7.74666,6758,2,499.51471188368447,10,22.553,0
7,1,1,22,11.40913,17374,3,504.4977666129714,9,22.654,0
10,0,1,26,10.36591,9225,3,502.11898720903685,12,23.684,0
13,0,1,26,7.35042,21375,3,498.3837098350208,12,25.143,0
8,0,0,27,8.25553,15222,3,498.17554874233423,12,23.116,0
6,1,1,27,10.11996,16229,3,501.6986818009295,12,21.354,0
10,0,1,26,8.14103,12830,3,499.1142514193973,11,22.943,0
9,0,1,25,9.07096,13121,3,499.7926481329916,11,23.774,0
9,0,1,25,9.65245,11546,3,501.10539305010104,10,23.147,0
11,0,1,26,8.5609,20507,3,499.3963702473148,12,24.481,0
9,1,1,24,10.23107,9037,2,501.9033808612184,8,21.634,1
8,1,1,22,8.78285,1172,2,502.32476560891104,9,22.561,1
11,0,1,25,7.22671,12480,3,499.4123890719605,12,24.46,0
9,1,0,28,10.47109,7568,3,499.42384824918605,13,25.265,0
10,0,0,29,8.69203,5187,3,497.7185750719798,14,25.123,0
8,1,1,24,9.3541,16055,3,500.4117312270691,7,20.277,1
10,0,0,26,9.07994,11812,3,499.00269791589994,13,25.963,0
9,0,0,23,8.66588,14745,1,501.09230769184774,9,23.99,1
9,0,1,23,9.13145,17158,3,501.78342102854566,10,23.228,0
9,0,1,24,8.92932,20593,3,500.34282684774365,10,24.031,0
6,1,0,26,8.36006,11637,3,499.0547443043664,10,20.601,0
8,0,1,23,9.1942,20232,3,501.2489145562179,9,22.53,0
10,1,1,24,10.46012,3303,3,502.4629837900039,9,23.595,1
8,1,1,25,10.27291,7145,2,501.7360618955321,10,22.338,0
9,1,1,22,9.06164,22492,3,501.07109495838785,8,23.378,1
9,0,1,20,8.26853,16477,3,501.7250450851063,8,23.977,0
8,1,1,28,9.30478,1367,3,499.98844637157805,11,21.652,0
8,1,1,22,10.24955,21569,2,503.82255195404866,9,22.34,0
10,0,1,25,8.55803,21202,2,500.3465662324638,11,23.669,0
8,1,1,23,9.1854,19845,2,502.3784697034146,8,21.095,0
12,0,0,28,9.2874,22411,3,498.4740898157901,12,25.017,0
9,0,1,22,10.22798,22468,3,502.7130200777674,8,23.156,1
7,0,1,25,8.65249,16089,3,499.4428138467884,10,22.152,0
10,0,1,25,9.5535,14723,3,502.4235964396987,12,24.221,0
10,0,0,25,7.86587,16189,3,498.59721818367166,10,23.041,0
10,0,0,26,8.44834,6915,3,498.5225654148284,10,23.0,0
8,1,0,27,10.5875,7579,3,499.95942351086313,12,23.942,0
9,1,1,27,10.49612,3018,3,501.5088169638802,12,22.797,0
10,0,0,26,6.55047,17429,4,495.4795135600807,12,25.404,0
10,0,1,25,8.0865,2081,3,498.55483888062406,12,25.362,0
7,1,1,26,9.06456,10176,4,498.51964153104285,11,23.39,0
7,0,1,22,9.13256,18351,3,501.39657928544136,9,22.709,0
8,0,1,22,9.68081,15479,3,501.78914028804365,9,23.714,0
